domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
Depots,p13,LMCOUNT-update,0.0085,36,144,lmcount,,76,20,1,55,0,,,,,,
Depots,p06,LMCOUNT,0.0321,91,1596,lmcount,,119,32,1,86,0,,,,,,
Depots,p06,LMCOUNT-update,0.0485,91,867,lmcount,,119,32,1,86,0,,,,,,
Depots,p04,LMCOUNT,0.0088,50,520,lmcount,,73,21,1,51,0,,,,,,
Depots,p04,LMCOUNT-update,0.0091,50,200,lmcount,,73,21,1,51,0,,,,,,
Depots,p01,LMCOUNT,0.002,14,83,lmcount,,31,8,1,22,0,,,,,,
Depots,p01,LMCOUNT-update,0.0026,14,45,lmcount,,31,8,1,22,0,,,,,,
Depots,p14,LMCOUNT,0.0109,46,464,lmcount,,79,19,1,59,0,,,,,,
Depots,p14,LMCOUNT-update,0.0214,46,685,lmcount,,79,19,1,59,0,,,,,,
Depots,p08,LMCOUNT,0.0093,62,459,lmcount,,90,25,1,64,0,,,,,,
Depots,p08,LMCOUNT-update,0.0147,54,240,lmcount,,90,25,1,64,0,,,,,,
Depots,p11,LMCOUNT,0.0188,72,859,lmcount,,106,28,1,77,0,,,,,,
Depots,p11,LMCOUNT-update,0.0277,72,516,lmcount,,106,28,1,77,0,,,,,,
Depots,p03,LMCOUNT,0.0102,43,478,lmcount,,62,17,1,44,0,,,,,,
Depots,p03,LMCOUNT-update,0.0113,43,179,lmcount,,62,17,1,44,0,,,,,,
Depots,p02,LMCOUNT,0.0035,23,154,lmcount,,46,12,1,33,0,,,,,,
Depots,p02,LMCOUNT-update,0.0054,23,168,lmcount,,46,12,1,33,0,,,,,,
Depots,p07,LMCOUNT,0.006,33,302,lmcount,,52,15,1,36,0,,,,,,
Depots,p07,LMCOUNT-update,0.0086,33,230,lmcount,,52,15,1,36,0,,,,,,
Depots,p05,LMCOUNT,0.0225,70,1013,lmcount,,90,25,1,64,0,,,,,,
Depots,p05,LMCOUNT-update,0.0269,70,340,lmcount,,90,25,1,64,0,,,,,,
Depots,p09,LMCOUNT,0.0241,96,1122,lmcount,,132,38,1,93,0,,,,,,
Depots,p09,LMCOUNT-update,0.0396,92,733,lmcount,,132,38,1,93,0,,,,,,
Depots,p15,LMCOUNT,0.037,104,1484,lmcount,,144,40,1,103,0,,,,,,
Depots,p15,LMCOUNT-update,0.0483,100,593,lmcount,,144,40,1,103,0,,,,,,
Depots,p10,LMCOUNT,0.0063,37,310,lmcount,,63,15,1,47,0,,,,,,
Depots,p10,LMCOUNT-update,0.0095,37,302,lmcount,,63,15,1,47,0,,,,,,
Factories-simple,pfile05,LMCOUNT,41.8969,305,2598688,lmcount,,30,10,1,19,0,,,,,,
Factories-simple,pfile05,LMCOUNT-update,49.5989,305,2582583,lmcount,,30,10,1,19,0,,,,,,
Factories-simple,pfile03,LMCOUNT,0.0849,57,9193,lmcount,,22,8,1,13,0,,,,,,
Factories-simple,pfile03,LMCOUNT-update,0.077,61,6458,lmcount,,22,8,1,13,0,,,,,,
Factories-simple,pfile02,LMCOUNT,0.0587,47,6376,lmcount,,22,8,1,13,0,,,,,,
Factories-simple,pfile02,LMCOUNT-update,0.0504,47,4326,lmcount,,22,8,1,13,0,,,,,,
Factories-simple,pfile04,LMCOUNT,0.9613,122,100530,lmcount,,26,9,1,16,0,,,,,,
Factories-simple,pfile04,LMCOUNT-update,1.2829,124,102515,lmcount,,26,9,1,16,0,,,,,,
Factories-simple,pfile01,LMCOUNT,0.0022,14,174,lmcount,,18,7,1,10,0,,,,,,
Factories-simple,pfile01,LMCOUNT-update,0.0037,14,267,lmcount,,18,7,1,10,0,,,,,,
Freecell-Learned-ECAI-16,probfreecell-03-4,LMCOUNT,,,,,,,,,,,,,,,,
Freecell-Learned-ECAI-16,probfreecell-03-4,LMCOUNT-update,,,,,,,,,,,,,,,,
Freecell-Learned-ECAI-16,probfreecell-03-2,LMCOUNT,,,,,,,,,,,,,,,,
