domain,experiment_name,total_problems,coverage,avg_solution_size,avg_expanded_nodes
Snake,Novelty-tdg-bid-f-t,10,2,24.50,57839.50
Snake,Novelty-lmonly_bu-tdg-f-t,10,3,47.00,2026282.67
Towers,lmcount,18,10,765.20,720617.60
Towers,Novelty-lm-f-t,18,10,765.20,732732.00
Towers,Novelty-lm-tdg-f-t,18,10,765.20,720617.60
Towers,lmcount-tdg,18,13,1259.15,1412935.38
Towers,Novelty-bid-tdg-f-t,18,13,1259.15,1439485.38
Towers,Novelty-tdg-bid-f-t,18,13,1259.15,1413437.15
Towers,Novelty-lmonly_bu-tdg-f-t,18,13,1259.15,1439485.38
Transport,lmcount-tdg,20,18,32.50,1438.06
Transport,lmcount,20,4,24.50,146.75
Transport,Novelty-lm-f-t,20,1,9.00,29.00
Transport,Novelty-lm-tdg-f-t,20,3,28.00,171.67
Transport,Novelty-bid-tdg-f-t,20,10,27.60,123.10
Transport,Novelty-tdg-bid-f-t,20,4,24.50,146.75
Transport,Novelty-lmonly_bu-tdg-f-t,20,1,9.00,29.00
Woodworking,lmcount-tdg,11,0,0.00,0.00
Woodworking,Novelty-bid-tdg-f-t,11,0,0.00,0.00
Woodworking,Novelty-tdg-bid-f-t,11,0,0.00,0.00
Woodworking,Novelty-lmonly_bu-tdg-f-t,11,0,0.00,0.00
Total,lmcount,197,166,171.90,536765.72
Total,Novelty-lm-f-t,228,178,161.45,394222.06
Total,Novelty-lm-tdg-f-t,240,179,173.13,269436.12
Total,lmcount-tdg,283,210,393.27,606909.24
Total,Novelty-tdg-f-t,173,152,136.75,538791.76
Total,TDG-satis,231,163,95.66,875481.77
Total,Novelty-bid-tdg-f-t,244,189,210.05,387100.80
Total,Novelty-tdg-bid-f-t,248,164,225.03,353564.23
Total,Novelty-lmonly_bu-tdg-f-t,241,180,205.77,417151.27
