domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
Blocksworld-GTOHP,p15,TDG-satis,0.0362,186,1677,,,,,,,,,,,,,
Blocksworld-GTOHP,p10,Novelty-tdg-f-t,0.0416,146,582,,,,,,,,,,,,,
Blocksworld-GTOHP,p10,TDG-satis,0.0231,146,585,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_090,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_075,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_060,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_050,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_025,Novelty-tdg-f-t,64.8199,120,1951993,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_025,TDG-satis,18.4604,120,1952114,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_400,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_035,TDG-satis,272.1387,171,24028146,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_080,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_095,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_250,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_005,Novelty-tdg-f-t,0.0044,20,290,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_005,TDG-satis,0.0031,20,386,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_070,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_040,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_300,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_500,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_200,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_020,Novelty-tdg-f-t,24.9268,92,941752,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_020,TDG-satis,6.5412,92,941856,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_065,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_015,Novelty-tdg-f-t,1.5204,66,74852,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_015,TDG-satis,0.4541,66,74810,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_055,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_010,Novelty-tdg-f-t,0.0838,45,5261,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_010,TDG-satis,0.0312,45,5305,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_085,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_150,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_100,TDG-satis,,,,,,,,,,,,,,,,
Childsnack,p04,Novelty-tdg-f-t,0.9484,59,2891,,,,,,,,,,,,,
Childsnack,p04,TDG-satis,0.7343,59,28588,,,,,,,,,,,,,
Childsnack,p01,Novelty-tdg-f-t,0.3334,49,1389,,,,,,,,,,,,,
Childsnack,p01,TDG-satis,0.2653,49,11408,,,,,,,,,,,,,
Childsnack,p03,Novelty-tdg-f-t,0.6024,54,2623,,,,,,,,,,,,,
Childsnack,p03,TDG-satis,0.4631,54,18863,,,,,,,,,,,,,
Childsnack,p02,Novelty-tdg-f-t,0.3199,49,443,,,,,,,,,,,,,
Childsnack,p02,TDG-satis,0.2655,49,11244,,,,,,,,,,,,,
Childsnack,p05,Novelty-tdg-f-t,1.2441,64,5745,,,,,,,,,,,,,
Childsnack,p05,TDG-satis,0.9461,64,33818,,,,,,,,,,,,,
Depots,p12,Novelty-tdg-f-t,0.2304,95,6989,,,,,,,,,,,,,
Depots,p12,TDG-satis,0.1786,95,17134,,,,,,,,,,,,,
