domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
Blocksworld-GTOHP,p04,NOVELTY-lmcount-update,0.0169,61,445,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p01,LMCOUNT-update,0.0019,20,69,lmcount,,35,13,1,21,0,,,,,,
Blocksworld-GTOHP,p01,TDG-satis,0.0009,20,85,,,,,,,,,,,,,
Blocksworld-GTOHP,p01,NOVELTY-yep,0.0029,20,84,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p01,NOVELTY-satistdg,0.0014,20,85,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p01,NOVELTY-lmcount-update,0.0023,20,69,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p14,LMCOUNT-update,28.9219,226,648501,lmcount,,210,76,1,133,0,,,,,,
Blocksworld-GTOHP,p14,TDG-satis,3.2707,227,214056,,,,,,,,,,,,,
Blocksworld-GTOHP,p14,NOVELTY-yep,15.5072,227,214036,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p14,NOVELTY-satistdg,7.7714,227,214036,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p14,NOVELTY-lmcount-update,41.2331,226,647687,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p08,LMCOUNT-update,0.4372,122,13574,lmcount,,144,55,1,88,0,,,,,,
Blocksworld-GTOHP,p08,TDG-satis,0.0206,124,2301,,,,,,,,,,,,,
Blocksworld-GTOHP,p08,NOVELTY-yep,0.1168,124,2296,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p08,NOVELTY-satistdg,0.0608,124,2295,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p08,NOVELTY-lmcount-update,0.6453,122,13574,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p11,LMCOUNT-update,0.0364,152,785,lmcount,,188,69,1,118,0,,,,,,
Blocksworld-GTOHP,p11,TDG-satis,0.0086,152,782,,,,,,,,,,,,,
Blocksworld-GTOHP,p11,NOVELTY-yep,0.0587,152,767,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p11,NOVELTY-satistdg,0.0344,152,782,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p11,NOVELTY-lmcount-update,0.0724,152,783,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p03,LMCOUNT-update,0.0039,38,136,lmcount,,55,20,1,34,0,,,,,,
Blocksworld-GTOHP,p03,TDG-satis,0.0015,38,169,,,,,,,,,,,,,
Blocksworld-GTOHP,p03,NOVELTY-yep,0.0062,38,166,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p03,NOVELTY-satistdg,0.0029,38,169,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p03,NOVELTY-lmcount-update,0.005,38,136,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p02,LMCOUNT-update,0.0042,36,143,lmcount,,51,21,1,29,0,,,,,,
Blocksworld-GTOHP,p02,TDG-satis,0.0019,34,221,,,,,,,,,,,,,
Blocksworld-GTOHP,p02,NOVELTY-yep,0.008,34,218,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p02,NOVELTY-satistdg,0.0036,34,220,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p02,NOVELTY-lmcount-update,0.0053,36,143,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p07,LMCOUNT-update,0.0308,83,1019,lmcount,,104,37,1,66,0,,,,,,
Blocksworld-GTOHP,p07,TDG-satis,0.0082,83,934,,,,,,,,,,,,,
Blocksworld-GTOHP,p07,NOVELTY-yep,0.0433,83,925,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p07,NOVELTY-satistdg,0.0212,83,930,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p07,NOVELTY-lmcount-update,0.046,83,1019,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p05,LMCOUNT-update,0.0126,78,373,lmcount,,93,39,1,53,0,,,,,,
Blocksworld-GTOHP,p05,TDG-satis,0.0104,70,1253,,,,,,,,,,,,,
Blocksworld-GTOHP,p05,NOVELTY-yep,0.0344,70,764,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p05,NOVELTY-satistdg,0.0255,70,1244,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p05,NOVELTY-lmcount-update,0.0176,78,373,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p09,LMCOUNT-update,0.0381,108,1020,lmcount,,140,51,1,88,0,,,,,,
Blocksworld-GTOHP,p09,TDG-satis,0.0245,102,2727,,,,,,,,,,,,,
Blocksworld-GTOHP,p09,NOVELTY-yep,0.1349,102,2716,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p09,NOVELTY-satistdg,0.0759,102,2724,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p09,NOVELTY-lmcount-update,0.0544,108,1020,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p15,LMCOUNT-update,0.0991,190,1937,lmcount,,231,86,1,144,0,,,,,,
Blocksworld-GTOHP,p15,TDG-satis,4.2265,183,293389,,,,,,,,,,,,,
Blocksworld-GTOHP,p15,NOVELTY-yep,21.567,183,293362,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p15,NOVELTY-satistdg,11.3813,183,293369,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p15,NOVELTY-lmcount-update,0.1453,190,1914,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p10,LMCOUNT-update,0.0432,146,1042,lmcount,,175,65,1,109,0,,,,,,
Blocksworld-GTOHP,p10,TDG-satis,0.2502,146,18938,,,,,,,,,,,,,
Blocksworld-GTOHP,p10,NOVELTY-yep,1.2358,146,18922,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p10,NOVELTY-satistdg,0.6292,146,18929,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p10,NOVELTY-lmcount-update,0.0641,146,1042,novelty_lmcount,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_045,LMCOUNT-update,1.4128,230,18691,lmcount,,268,48,2,218,0,,,,,,
Blocksworld-HPDDL,pfile_045,NOVELTY-lmcount-update,2.5098,230,18691,novelty_lmcount,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_050,LMCOUNT-update,2.3132,263,26769,lmcount,,301,53,2,246,0,,,,,,
Blocksworld-HPDDL,pfile_050,NOVELTY-lmcount-update,4.3713,263,26769,novelty_lmcount,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_025,LMCOUNT-update,0.2368,126,5013,lmcount,,152,28,2,122,0,,,,,,
Blocksworld-HPDDL,pfile_025,TDG-satis,19.596,118,1958387,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_025,NOVELTY-lmcount-update,0.3678,126,5013,novelty_lmcount,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_030,LMCOUNT-update,0.4414,145,8132,lmcount,,179,33,2,144,0,,,,,,
Blocksworld-HPDDL,pfile_030,NOVELTY-lmcount-update,0.7461,145,8132,novelty_lmcount,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_035,LMCOUNT-update,0.6131,181,10370,lmcount,,213,38,2,173,0,,,,,,
Blocksworld-HPDDL,pfile_035,NOVELTY-lmcount-update,1.0695,181,10370,novelty_lmcount,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_005,LMCOUNT-update,0.0044,20,168,lmcount,,34,8,2,24,0,,,,,,
